# Annual nominal total returns and CPI inflation, in decimals.
# stocks: S&P 500 incl. dividends; bonds: US 10-year Treasury; cash: 3-month T-bill.
# Source: A. Damodaran, NYU Stern, 'Historical Returns on Stocks, Bonds and Bills:
# 1928 - Current' (pages.stern.nyu.edu/~adamodar), retrieved 2026-07-06.
# inflation: CPI-U (NSA) December-over-December change, FRED series CPIAUCNS.
year,stocks,bonds,cash,inflation
1928,0.4381,0.0084,0.0308,-0.011561
1929,-0.083,0.042,0.0316,0.005848
1930,-0.2512,0.0454,0.0455,-0.063953
1931,-0.4384,-0.0256,0.0231,-0.093168
1932,-0.0864,0.0879,0.0107,-0.10274
1933,0.4998,0.0186,0.0096,0.007634
1934,-0.0119,0.0796,0.0028,0.015152
1935,0.4674,0.0447,0.0017,0.029851
1936,0.3194,0.0502,0.0017,0.014493
1937,-0.3534,0.0138,0.0028,0.028571
1938,0.2928,0.0421,0.0007,-0.027778
1939,-0.011,0.0441,0.0005,0.0
1940,-0.1067,0.054,0.0004,0.007143
1941,-0.1277,-0.0202,0.0013,0.099291
1942,0.1917,0.0229,0.0034,0.090323
1943,0.2506,0.0249,0.0038,0.029586
1944,0.1903,0.0258,0.0038,0.022989
1945,0.3582,0.038,0.0038,0.022472
1946,-0.0843,0.0313,0.0038,0.181319
1947,0.052,0.0092,0.006,0.088372
1948,0.057,0.0195,0.0105,0.029915
1949,0.183,0.0466,0.0112,-0.020747
1950,0.3081,0.0043,0.012,0.059322
1951,0.2368,-0.003,0.0152,0.06
1952,0.1815,0.0227,0.0172,0.007547
1953,-0.0121,0.0414,0.0189,0.007491
1954,0.5256,0.0329,0.0094,-0.007435
1955,0.326,-0.0134,0.0172,0.003745
1956,0.0744,-0.0226,0.0262,0.029851
1957,-0.1046,0.068,0.0322,0.028986
1958,0.4372,-0.021,0.0177,0.017606
1959,0.1206,-0.0265,0.0339,0.017301
1960,0.0034,0.1164,0.0287,0.013605
1961,0.2664,0.0206,0.0235,0.006711
1962,-0.0881,0.0569,0.0277,0.013333
1963,0.2261,0.0168,0.0316,0.016447
1964,0.1642,0.0373,0.0355,0.009709
1965,0.124,0.0072,0.0395,0.019231
1966,-0.0997,0.0291,0.0486,0.034591
1967,0.238,-0.0158,0.0429,0.030395
1968,0.1081,0.0327,0.0534,0.047198
1969,-0.0824,-0.0501,0.0667,0.061972
1970,0.0356,0.1675,0.0639,0.055703
1971,0.1422,0.0979,0.0433,0.032663
1972,0.1876,0.0282,0.0406,0.034063
1973,-0.1431,0.0366,0.0704,0.087059
1974,-0.259,0.0199,0.0785,0.123377
1975,0.37,0.0361,0.0579,0.069364
1976,0.2383,0.1598,0.0498,0.048649
1977,-0.0698,0.0129,0.0526,0.06701
1978,0.0651,-0.0078,0.0718,0.090177
1979,0.1852,0.0067,0.1005,0.132939
1980,0.3174,-0.0299,0.1139,0.125163
1981,-0.047,0.082,0.1404,0.089224
1982,0.2042,0.3281,0.1109,0.038298
1983,0.2234,0.032,0.0895,0.03791
1984,0.0615,0.1373,0.0992,0.039487
1985,0.3124,0.2571,0.0772,0.037987
1986,0.1849,0.2428,0.0615,0.010979
1987,0.0581,-0.0496,0.0596,0.044344
1988,0.1654,0.0822,0.0689,0.044194
1989,0.3148,0.1769,0.0839,0.046473
1990,-0.0306,0.0624,0.0775,0.061063
1991,0.3023,0.15,0.0554,0.030643
1992,0.0749,0.0936,0.0351,0.029007
1993,0.0997,0.1421,0.0307,0.027484
1994,0.0133,-0.0804,0.0437,0.026749
1995,0.372,0.2348,0.0566,0.025384
1996,0.2268,0.0143,0.0515,0.033225
1997,0.331,0.0994,0.052,0.017024
1998,0.2834,0.1492,0.0491,0.016119
1999,0.2089,-0.0825,0.0478,0.026846
2000,-0.0903,0.1666,0.06,0.033868
2001,-0.1185,0.0557,0.0348,0.015517
2002,-0.2197,0.1512,0.0164,0.023769
2003,0.2836,0.0038,0.0103,0.018795
2004,0.1074,0.0449,0.014,0.032556
2005,0.0483,0.0287,0.0322,0.034157
2006,0.1561,0.0196,0.0485,0.025407
2007,0.0548,0.1021,0.0448,0.040813
2008,-0.3655,0.201,0.014,0.000914
2009,0.2594,-0.1112,0.0015,0.027213
2010,0.1482,0.0846,0.0014,0.014957
2011,0.021,0.1604,0.0005,0.029624
2012,0.1589,0.0297,0.0009,0.01741
2013,0.3215,-0.091,0.0006,0.015017
2014,0.1352,0.1075,0.0003,0.007565
2015,0.0138,0.0128,0.0005,0.007295
2016,0.1177,0.0069,0.0032,0.020746
2017,0.2161,0.028,0.0095,0.021091
2018,-0.0423,-0.0002,0.0197,0.019102
2019,0.3121,0.0964,0.0211,0.022851
2020,0.1802,0.1133,0.0036,0.01362
2021,0.2847,-0.0442,0.0004,0.070364
2022,-0.1804,-0.1783,0.0209,0.064544
2023,0.2606,0.0388,0.0528,0.033521
2024,0.2488,-0.0164,0.0518,0.028881
2025,0.1778,0.078,0.0421,0.026771
